crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),0.75,Luapula,Nchelenge,CHISENGA,2024-10-01,10,0.0,95.00704193115234,,,,,,0,,,,,,,0.0469,0.0469,0.0469,0.0,0.0469,0.0469,0.0469,1,0.0
 Maize(for grain),0.81,Eastern,Chipangali,SISINJE,2024-12-01,12,1.2777777777777777,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Sunflower (for grain),0.2025,Eastern,Chipangali,SISINJE,2025-01-01,1,0.5487407407407408,276.68096923828125,105.349609375,91.82780456542967,26.51133346557617,223.68874740600583,74.56291580200195,3,6.1,22.3,1.11,20.1,60.7,19.1,0.2278166666666666,0.2489,0.2073,0.0145132238550456,0.2254999999999999,0.2214,0.2383,6,0.0169
 Maize(for grain),0.375,Copperbelt,Mufulira,HANKY KALANGA,2024-12-01,12,1.5333333333333332,140.0782470703125,107.12831115722656,38.12406921386719,,,,2,,,,,,,0.419475,0.5268,0.3313,0.0954190188938592,0.4099,0.3473,0.5268,4,0.1795
 Maize(for grain),0.405,Eastern,Chipangali,SISINJE,2024-12-01,12,1.1358024691358024,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),0.405,Eastern,Chipangali,SISINJE,2024-12-01,12,0.0,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Maize(for grain),0.25,Eastern,Lumezi,LUMIMBA,2024-12-01,12,1.15,84.70574188232422,122.63136291503906,27.49403953552246,,,,2,6.1,18.2,1.4,18.6,66.1,15.4,0.41505,0.5801,0.3249,0.116247222189034,0.3776,0.3249,0.5801,4,0.2551999999999999
 Soya beans (for grain),0.6075,Eastern,Lumezi,LUMIMBA,2024-12-01,12,1.2128395061728392,84.70574188232422,122.63136291503906,27.49403953552246,,,,2,6.1,18.2,1.4,18.6,66.1,15.4,0.41505,0.5801,0.3249,0.116247222189034,0.3776,0.3249,0.5801,4,0.2551999999999999
 Maize(for grain),1.0,Luapula,Mansa,CHILYAPA,2024-11-01,11,2.875,75.1615982055664,40.42757797241211,,,,,1,5.7,16.3,1.55,28.1,59.8,12.1,0.4581666666666666,0.5217,0.3918,0.0649963332299087,0.461,0.3918,0.5217,3,0.1299
 Groundnuts(unshelled),1.0,Luapula,Mansa,CHILYAPA,2024-11-01,11,0.475,75.1615982055664,40.42757797241211,,,,,1,5.7,16.3,1.55,28.1,59.8,12.1,0.4581666666666666,0.5217,0.3918,0.0649963332299087,0.461,0.3918,0.5217,3,0.1299
 Maize(for grain),0.5,Central,Luano,MUNDA,2024-12-01,12,4.025,106.20655822753906,52.37794494628906,18.696521759033203,,,,2,6.1,17.2,1.1,19.0,65.5,15.5,0.4591,0.6148,0.329,0.1204593984156764,0.4463,0.329,0.6148,4,0.2858
